date,equity,daily_return,position_shares,entry_price,stop_price,strategy_realized_vol,leverage_mult_today
2023-11-20,7068666752.379409,0.001244141071265581,9776812.0,145.14451788330078,178.74584259940744,0.41491950223958984,1.0
2023-11-21,7386322475.661724,0.04493856259037643,0.0,,,0.41488606655426286,1.0
2023-11-22,7407481759.414576,0.00286465745607134,10378345.0,144.58446432495117,178.74584259940744,0.4059505763564948,1.0
2023-11-24,7738662267.687985,0.04470891985018999,0.0,,,0.4058578861876737,1.0
2023-11-27,7739757788.245525,0.0001415645908355856,11327062.0,147.54475177917482,178.74584259940744,0.3964622779808608,1.0
2023-11-28,8089659064.556643,0.04520829797057946,0.0,,,0.3971236093823328,1.0
2023-11-29,8069099868.753341,-0.002541416843310218,12585958.0,147.86479110412597,178.74584259940744,0.38727941037167585,1.0
2023-11-30,8475635423.255702,0.05038177257870147,0.0,,,0.3875842700512423,1.0
2023-12-01,8488341425.924451,0.0014991209548591566,13694912.0,146.0146,178.74584259940744,0.3794025848831377,1.0
2023-12-04,8920973726.911789,0.05096782507664277,0.0,,,0.3800176355032663,1.0
2023-12-05,8967720993.97655,0.005240152980580781,14475042.0,143.564358052063,178.74584259940744,0.3714790262310785,1.0
2023-12-06,9427169341.025394,0.05123356841247051,0.0,,,0.37164787409151867,1.0
2023-12-07,9436020799.586462,0.0009389306843727852,14101478.0,146.164608895874,178.74584259940744,0.36873667871818283,1.0
2023-12-08,9883611953.936525,0.047434311968629794,0.0,,,0.36937232732647657,1.0
2023-12-11,9885554151.216038,0.00019650683257954604,15170455.0,145.6745696624756,178.74584259940744,0.36741974796684057,1.0
2023-12-12,10382094245.782974,0.05022885788409304,0.0,,,0.3666971537997778,1.0
2023-12-13,10392095793.002325,0.00096334583202351,16228155.0,148.13480711669922,178.74584259940744,0.3627342715898146,1.0
2023-12-14,10875382174.915789,0.04650518928423386,0.0,,,0.3622648993508688,1.0
2023-12-15,10899645137.329716,0.0022309986006643356,16326366.0,148.39484288330078,178.74584259940744,0.35502401731223837,1.0
2023-12-18,11367407441.69951,0.04291537003968848,0.0,,,0.3539339178525732,1.0
2023-12-19,11355643090.25239,-0.0010349194842761422,16382840.0,154.41543389587403,178.74584259940744,0.3395260905030586,1.0
2023-12-20,11762441097.13977,0.03582342309054898,0.0,,,0.33971006897085976,1.0
2023-12-21,11769847306.675953,0.0006296490222581497,17117294.0,153.31533305206298,178.74584259940744,0.3413732866427854,1.0
2023-12-22,12194026431.43451,0.036039475594382475,0.0,,,0.34126375978027,1.0
2023-12-26,12188986987.973625,-0.00041327148905412336,19571026.0,153.5753535583496,178.74584259940744,0.3427080513783468,1.0
2023-12-27,12682386792.768635,0.04047914771603467,0.0,,,0.3427853317942954,1.0
2023-12-28,12672158084.85767,-0.00080652861942343,22851853.0,153.73537322082518,178.74584259940744,0.3451835080834087,1.0
2023-12-29,13248955453.055965,0.04551690125200758,0.0,,,0.3453416758270347,1.0
2024-01-02,13205818676.56462,-0.003255862444717983,25136697.0,151.55514728546143,178.74584259940744,0.3490133059029193,1.0
2024-01-03,13927009078.417288,0.05461156324465599,0.0,,,0.3497206124347722,1.0
2024-01-04,13898762114.501541,-0.002028214655185434,25177550.0,145.6045553375244,178.74584259940744,0.35649890130570144,1.0
2024-01-05,14756075918.284773,0.061682745320803534,0.0,,,0.3569364588483715,1.0
2024-01-08,14756075918.284773,0.0,0.0,,,0.3662754587302216,1.0
2024-01-09,14756075918.284773,0.0,0.0,,,0.3662754587302216,1.0
2024-01-10,14756075918.284773,0.0,0.0,,,0.3662754587302216,1.0
2024-01-11,14756075918.284773,0.0,0.0,,,0.3662754587302216,1.0
2024-01-12,14735376065.756655,-0.00140280198087539,23555039.0,155.4055383895874,178.74584259940744,0.36627545873022166,1.0
2024-01-16,15300714341.024853,0.03836605681085947,0.0,,,0.366581114810941,1.0
2024-01-17,15303602630.52516,0.00018876827812963626,25347184.0,151.50515449371338,178.74584259940744,0.3668301132809697,1.0
2024-01-18,15985713716.518856,0.04457192874527016,0.0,,,0.36678938519951876,1.0
2024-01-19,16023782377.797388,0.0023814176804126674,27147219.0,153.8453848312378,178.74584259940744,0.3683047862351424,1.0
2024-01-22,16655789586.5122,0.03944182427180998,0.0,,,0.367801737921703,1.0
2024-01-23,16685540168.822052,0.0017862006574544953,28024448.0,154.86549110412597,178.74584259940744,0.36765327460079233,1.0
2024-01-24,17318913066.327385,0.03795938825455769,0.0,,,0.36725513818270344,1.0
2024-01-25,17339799604.554783,0.0012059959044432578,30264703.0,156.96569194793702,178.74584259940744,0.36649658764408083,1.0
2024-01-26,17971446086.754856,0.03642755375524365,0.0,,,0.3662138672919127,1.0
2024-01-29,18026142208.907593,0.0030435014460550303,30244742.0,159.3559303375244,178.74584259940744,0.36489488040324636,1.0
2024-01-30,18551213212.160828,0.029128306942667548,0.0,,,0.3642534252059501,1.0
2024-01-31,18491070878.22806,-0.0032419623042950763,31489576.0,157.0157,178.74584259940744,0.36029018967195947,1.0
2024-02-01,19228579870.505894,0.03988460144545747,0.0,,,0.3609384168530567,1.0
2024-02-02,19303272592.40758,0.0038844637724004816,29858553.0,169.2069214416504,178.74584259940744,0.3592767736432585,1.0
2024-02-05,19506631244.83369,0.010534931393244351,0.0,,,0.3586689596579465,1.0
2024-02-06,19498321752.739014,-0.00042598293833429057,23172769.0,169.4069383895874,178.74584259940744,0.35465597948301686,1.0
2024-02-07,19717784961.32878,0.01125549220967903,0.0,,,0.35443084048757834,1.0
2024-02-08,19719595693.32534,9.18324243879276e-05,25418325.0,169.66695889587402,178.74584259940744,0.3502398667571833,1.0
2024-02-09,19942787266.66209,0.011318263153452746,0.0,,,0.35113174777623757,1.0
2024-02-12,19876544645.682808,-0.003321633034215732,25651799.0,174.81748305206298,178.74584259940744,0.3461237953766145,1.0
2024-02-13,20037656794.818775,0.008105641700201671,0.0,,,0.3471960805956314,1.0
2024-02-14,20077487933.11047,0.0019878141790508064,24117693.0,169.22692771453856,178.74584259940744,0.343044104081669,1.0
2024-02-15,20261764846.35766,0.00917828534431786,0.0,,,0.3431386237159623,1.0
